Year,Field,Degree,NonresidentShare
2017,Engineering/Engineering-Related Technologies/Technicians,Doctorate,37.5
2018,Engineering/Engineering-Related Technologies/Technicians,Doctorate,26.887
2019,Engineering/Engineering-Related Technologies/Technicians,Doctorate,30.233
2020,Engineering/Engineering-Related Technologies/Technicians,Doctorate,31.469
2021,Engineering/Engineering-Related Technologies/Technicians,Doctorate,43.35
2022,Engineering/Engineering-Related Technologies/Technicians,Doctorate,34.132
2023,Engineering/Engineering-Related Technologies/Technicians,Doctorate,35.714
2024,Engineering/Engineering-Related Technologies/Technicians,Doctorate,42.13
1995,Engineering/Engineering-Related Technologies/Technicians,Masters,14.452
1996,Engineering/Engineering-Related Technologies/Technicians,Masters,12.067
1997,Engineering/Engineering-Related Technologies/Technicians,Masters,13.077
1998,Engineering/Engineering-Related Technologies/Technicians,Masters,11.258
1999,Engineering/Engineering-Related Technologies/Technicians,Masters,16.351
2000,Engineering/Engineering-Related Technologies/Technicians,Masters,14.536
2001,Engineering/Engineering-Related Technologies/Technicians,Masters,15.981
2002,Engineering/Engineering-Related Technologies/Technicians,Masters,19.754
2003,Engineering/Engineering-Related Technologies/Technicians,Masters,22.722
2004,Engineering/Engineering-Related Technologies/Technicians,Masters,24.444
2005,Engineering/Engineering-Related Technologies/Technicians,Masters,23.88
2006,Engineering/Engineering-Related Technologies/Technicians,Masters,21.82
2007,Engineering/Engineering-Related Technologies/Technicians,Masters,23.052
2008,Engineering/Engineering-Related Technologies/Technicians,Masters,28.052
2009,Engineering/Engineering-Related Technologies/Technicians,Masters,35.262
2010,Engineering/Engineering-Related Technologies/Technicians,Masters,30.729
2011,Engineering/Engineering-Related Technologies/Technicians,Masters,27.575
2012,Engineering/Engineering-Related Technologies/Technicians,Masters,28.531
2013,Engineering/Engineering-Related Technologies/Technicians,Masters,29.234
2014,Engineering/Engineering-Related Technologies/Technicians,Masters,31.416
2015,Engineering/Engineering-Related Technologies/Technicians,Masters,36.284
2016,Engineering/Engineering-Related Technologies/Technicians,Masters,44.841
2017,Engineering/Engineering-Related Technologies/Technicians,Masters,53.738
2018,Engineering/Engineering-Related Technologies/Technicians,Masters,50.409
2019,Engineering/Engineering-Related Technologies/Technicians,Masters,43.012
2020,Engineering/Engineering-Related Technologies/Technicians,Masters,38.708
2021,Engineering/Engineering-Related Technologies/Technicians,Masters,35.047
2022,Engineering/Engineering-Related Technologies/Technicians,Masters,30.668
2023,Engineering/Engineering-Related Technologies/Technicians,Masters,44.933
2024,Engineering/Engineering-Related Technologies/Technicians,Masters,54.199
1995,Mathematics and Statistics,Bachelors,4.309
1996,Mathematics and Statistics,Bachelors,4.226
1997,Mathematics and Statistics,Bachelors,4.087
1998,Mathematics and Statistics,Bachelors,3.687
1999,Mathematics and Statistics,Bachelors,3.733
2000,Mathematics and Statistics,Bachelors,3.91
2001,Mathematics and Statistics,Bachelors,3.694
2002,Mathematics and Statistics,Bachelors,3.687
2003,Mathematics and Statistics,Bachelors,4.717
2004,Mathematics and Statistics,Bachelors,4.803
2005,Mathematics and Statistics,Bachelors,4.955
2006,Mathematics and Statistics,Bachelors,5.039
2007,Mathematics and Statistics,Bachelors,4.267
2008,Mathematics and Statistics,Bachelors,4.49
2009,Mathematics and Statistics,Bachelors,4.79
2010,Mathematics and Statistics,Bachelors,5.531
2011,Mathematics and Statistics,Bachelors,6.891
2012,Mathematics and Statistics,Bachelors,8.687
2013,Mathematics and Statistics,Bachelors,10.144
2014,Mathematics and Statistics,Bachelors,11.564
2015,Mathematics and Statistics,Bachelors,12.896
2016,Mathematics and Statistics,Bachelors,14.979
2017,Mathematics and Statistics,Bachelors,16.943
2018,Mathematics and Statistics,Bachelors,17.366
2019,Mathematics and Statistics,Bachelors,18.803
2020,Mathematics and Statistics,Bachelors,20.663
2021,Mathematics and Statistics,Bachelors,20.459
2022,Mathematics and Statistics,Bachelors,20.494
2023,Mathematics and Statistics,Bachelors,19.886
2024,Mathematics and Statistics,Bachelors,17.037
1995,Mathematics and Statistics,Doctorate,44.78
1996,Mathematics and Statistics,Doctorate,45.079
1997,Mathematics and Statistics,Doctorate,47.53
1998,Mathematics and Statistics,Doctorate,45.476
1999,Mathematics and Statistics,Doctorate,45.574
2000,Mathematics and Statistics,Doctorate,45.75
2001,Mathematics and Statistics,Doctorate,47.656
2002,Mathematics and Statistics,Doctorate,53.027
2003,Mathematics and Statistics,Doctorate,49.158
2004,Mathematics and Statistics,Doctorate,52.547
2005,Mathematics and Statistics,Doctorate,54.167
2006,Mathematics and Statistics,Doctorate,54.946
2007,Mathematics and Statistics,Doctorate,53.294
2008,Mathematics and Statistics,Doctorate,50.771
2009,Mathematics and Statistics,Doctorate,48.666
2010,Mathematics and Statistics,Doctorate,45.966
2011,Mathematics and Statistics,Doctorate,46.541
2012,Mathematics and Statistics,Doctorate,48.923
2013,Mathematics and Statistics,Doctorate,49.918
2014,Mathematics and Statistics,Doctorate,48.905
2015,Mathematics and Statistics,Doctorate,50.0
2016,Mathematics and Statistics,Doctorate,47.046
2017,Mathematics and Statistics,Doctorate,48.911
2018,Mathematics and Statistics,Doctorate,49.777
2019,Mathematics and Statistics,Doctorate,50.697
2020,Mathematics and Statistics,Doctorate,54.684
2021,Mathematics and Statistics,Doctorate,54.337
2022,Mathematics and Statistics,Doctorate,54.447
2023,Mathematics and Statistics,Doctorate,54.109
2024,Mathematics and Statistics,Doctorate,51.437
1995,Mathematics and Statistics,Masters,27.583
1996,Mathematics and Statistics,Masters,26.777
1997,Mathematics and Statistics,Masters,26.412
1998,Mathematics and Statistics,Masters,27.811
1999,Mathematics and Statistics,Masters,29.464
2000,Mathematics and Statistics,Masters,33.518
2001,Mathematics and Statistics,Masters,37.185
2002,Mathematics and Statistics,Masters,37.239
2003,Mathematics and Statistics,Masters,39.824
2004,Mathematics and Statistics,Masters,40.867
2005,Mathematics and Statistics,Masters,38.157
2006,Mathematics and Statistics,Masters,36.285
2007,Mathematics and Statistics,Masters,35.259
2008,Mathematics and Statistics,Masters,35.988
2009,Mathematics and Statistics,Masters,39.794
2010,Mathematics and Statistics,Masters,40.578
2011,Mathematics and Statistics,Masters,38.553
2012,Mathematics and Statistics,Masters,39.898
2013,Mathematics and Statistics,Masters,42.626
2014,Mathematics and Statistics,Masters,46.139
2015,Mathematics and Statistics,Masters,48.28
2016,Mathematics and Statistics,Masters,52.72
2017,Mathematics and Statistics,Masters,55.149
2018,Mathematics and Statistics,Masters,58.121
2019,Mathematics and Statistics,Masters,58.017
2020,Mathematics and Statistics,Masters,56.587
2021,Mathematics and Statistics,Masters,54.959
2022,Mathematics and Statistics,Masters,48.091
2023,Mathematics and Statistics,Masters,54.332
2024,Mathematics and Statistics,Masters,56.056
1995,Natural Resources and Conservation,Bachelors,1.178
1996,Natural Resources and Conservation,Bachelors,1.29
1997,Natural Resources and Conservation,Bachelors,1.165
1998,Natural Resources and Conservation,Bachelors,1.414
1999,Natural Resources and Conservation,Bachelors,1.466
2000,Natural Resources and Conservation,Bachelors,1.56
2001,Natural Resources and Conservation,Bachelors,1.552
2002,Natural Resources and Conservation,Bachelors,1.868
2003,Natural Resources and Conservation,Bachelors,1.523
2004,Natural Resources and Conservation,Bachelors,1.591
2005,Natural Resources and Conservation,Bachelors,1.802
2006,Natural Resources and Conservation,Bachelors,1.796
2007,Natural Resources and Conservation,Bachelors,1.711
2008,Natural Resources and Conservation,Bachelors,1.22
2009,Natural Resources and Conservation,Bachelors,1.449
2010,Natural Resources and Conservation,Bachelors,1.438
2011,Natural Resources and Conservation,Bachelors,1.514
2012,Natural Resources and Conservation,Bachelors,1.484
2013,Natural Resources and Conservation,Bachelors,1.788
2014,Natural Resources and Conservation,Bachelors,1.828
2015,Natural Resources and Conservation,Bachelors,1.907
2016,Natural Resources and Conservation,Bachelors,1.966
2017,Natural Resources and Conservation,Bachelors,2.2
2018,Natural Resources and Conservation,Bachelors,2.617
2019,Natural Resources and Conservation,Bachelors,2.692
2020,Natural Resources and Conservation,Bachelors,2.623
2021,Natural Resources and Conservation,Bachelors,2.239
2022,Natural Resources and Conservation,Bachelors,2.291
2023,Natural Resources and Conservation,Bachelors,1.927
2024,Natural Resources and Conservation,Bachelors,1.811
1995,Natural Resources and Conservation,Doctorate,29.641
1996,Natural Resources and Conservation,Doctorate,35.395
1997,Natural Resources and Conservation,Doctorate,32.37
1998,Natural Resources and Conservation,Doctorate,30.688
1999,Natural Resources and Conservation,Doctorate,30.259
2000,Natural Resources and Conservation,Doctorate,32.948
2001,Natural Resources and Conservation,Doctorate,29.65
2002,Natural Resources and Conservation,Doctorate,32.8
2003,Natural Resources and Conservation,Doctorate,26.862
2004,Natural Resources and Conservation,Doctorate,26.905
2005,Natural Resources and Conservation,Doctorate,24.651
2006,Natural Resources and Conservation,Doctorate,28.964
2007,Natural Resources and Conservation,Doctorate,29.15
2008,Natural Resources and Conservation,Doctorate,22.746
2009,Natural Resources and Conservation,Doctorate,26.11
2010,Natural Resources and Conservation,Doctorate,25.667
2011,Natural Resources and Conservation,Doctorate,27.469
2012,Natural Resources and Conservation,Doctorate,25.939
2013,Natural Resources and Conservation,Doctorate,25.084
2014,Natural Resources and Conservation,Doctorate,24.702
2015,Natural Resources and Conservation,Doctorate,24.927
2016,Natural Resources and Conservation,Doctorate,23.469
2017,Natural Resources and Conservation,Doctorate,27.103
2018,Natural Resources and Conservation,Doctorate,22.94
2019,Natural Resources and Conservation,Doctorate,26.087
2020,Natural Resources and Conservation,Doctorate,25.458
2021,Natural Resources and Conservation,Doctorate,26.898
2022,Natural Resources and Conservation,Doctorate,23.883
2023,Natural Resources and Conservation,Doctorate,25.833
2024,Natural Resources and Conservation,Doctorate,26.899
1995,Natural Resources and Conservation,Masters,11.598
1996,Natural Resources and Conservation,Masters,10.376
1997,Natural Resources and Conservation,Masters,10.208
1998,Natural Resources and Conservation,Masters,9.87
1999,Natural Resources and Conservation,Masters,8.268
2000,Natural Resources and Conservation,Masters,8.888
2001,Natural Resources and Conservation,Masters,9.991
2002,Natural Resources and Conservation,Masters,9.408
2003,Natural Resources and Conservation,Masters,10.885
2004,Natural Resources and Conservation,Masters,10.706
2005,Natural Resources and Conservation,Masters,9.863
2006,Natural Resources and Conservation,Masters,9.988
2007,Natural Resources and Conservation,Masters,8.764
2008,Natural Resources and Conservation,Masters,10.459
2009,Natural Resources and Conservation,Masters,9.118
2010,Natural Resources and Conservation,Masters,9.222
2011,Natural Resources and Conservation,Masters,8.436
2012,Natural Resources and Conservation,Masters,7.93
2013,Natural Resources and Conservation,Masters,9.341
2014,Natural Resources and Conservation,Masters,11.049
2015,Natural Resources and Conservation,Masters,10.348
2016,Natural Resources and Conservation,Masters,11.746
2017,Natural Resources and Conservation,Masters,11.334
2018,Natural Resources and Conservation,Masters,14.724
2019,Natural Resources and Conservation,Masters,13.747
2020,Natural Resources and Conservation,Masters,13.635
2021,Natural Resources and Conservation,Masters,14.352
2022,Natural Resources and Conservation,Masters,11.529
2023,Natural Resources and Conservation,Masters,12.749
2024,Natural Resources and Conservation,Masters,16.568
1995,Physical Sciences,Bachelors,3.731
1996,Physical Sciences,Bachelors,3.455
1997,Physical Sciences,Bachelors,3.401
1998,Physical Sciences,Bachelors,3.444
1999,Physical Sciences,Bachelors,3.247
2000,Physical Sciences,Bachelors,3.103
2001,Physical Sciences,Bachelors,3.348
2002,Physical Sciences,Bachelors,3.356
2003,Physical Sciences,Bachelors,3.211
2004,Physical Sciences,Bachelors,3.531
2005,Physical Sciences,Bachelors,3.953
2006,Physical Sciences,Bachelors,4.111
2007,Physical Sciences,Bachelors,3.804
2008,Physical Sciences,Bachelors,3.837
2009,Physical Sciences,Bachelors,3.913
2010,Physical Sciences,Bachelors,3.928
2011,Physical Sciences,Bachelors,4.123
2012,Physical Sciences,Bachelors,4.144
2013,Physical Sciences,Bachelors,4.66
2014,Physical Sciences,Bachelors,4.782
2015,Physical Sciences,Bachelors,4.94
2016,Physical Sciences,Bachelors,5.285
2017,Physical Sciences,Bachelors,5.727
2018,Physical Sciences,Bachelors,6.213
2019,Physical Sciences,Bachelors,6.994
2020,Physical Sciences,Bachelors,7.167
2021,Physical Sciences,Bachelors,7.11
2022,Physical Sciences,Bachelors,7.021
2023,Physical Sciences,Bachelors,6.769
2024,Physical Sciences,Bachelors,6.272
1995,Physical Sciences,Doctorate,32.843
1996,Physical Sciences,Doctorate,34.923
1997,Physical Sciences,Doctorate,35.055
1998,Physical Sciences,Doctorate,35.389
1999,Physical Sciences,Doctorate,35.598
2000,Physical Sciences,Doctorate,36.44
2001,Physical Sciences,Doctorate,36.876
2002,Physical Sciences,Doctorate,36.693
2003,Physical Sciences,Doctorate,37.836
2004,Physical Sciences,Doctorate,39.979
2005,Physical Sciences,Doctorate,42.757
2006,Physical Sciences,Doctorate,43.857
2007,Physical Sciences,Doctorate,44.676
2008,Physical Sciences,Doctorate,43.813
2009,Physical Sciences,Doctorate,42.414
2010,Physical Sciences,Doctorate,41.341
2011,Physical Sciences,Doctorate,40.621
2012,Physical Sciences,Doctorate,39.952
2013,Physical Sciences,Doctorate,39.751
2014,Physical Sciences,Doctorate,41.354
2015,Physical Sciences,Doctorate,39.141
2016,Physical Sciences,Doctorate,39.533
2017,Physical Sciences,Doctorate,38.913
2018,Physical Sciences,Doctorate,39.393
2019,Physical Sciences,Doctorate,39.029
2020,Physical Sciences,Doctorate,39.011
2021,Physical Sciences,Doctorate,41.17
2022,Physical Sciences,Doctorate,41.432
2023,Physical Sciences,Doctorate,39.349
2024,Physical Sciences,Doctorate,39.788
1995,Physical Sciences,Masters,30.602
1996,Physical Sciences,Masters,29.638
1997,Physical Sciences,Masters,29.503
1998,Physical Sciences,Masters,27.788
1999,Physical Sciences,Masters,26.636
2000,Physical Sciences,Masters,27.475
2001,Physical Sciences,Masters,27.684
2002,Physical Sciences,Masters,27.568
2003,Physical Sciences,Masters,26.864
2004,Physical Sciences,Masters,29.013
2005,Physical Sciences,Masters,28.132
2006,Physical Sciences,Masters,27.802
2007,Physical Sciences,Masters,27.524
2008,Physical Sciences,Masters,27.366
2009,Physical Sciences,Masters,27.468
2010,Physical Sciences,Masters,27.66
2011,Physical Sciences,Masters,27.636
2012,Physical Sciences,Masters,28.611
2013,Physical Sciences,Masters,27.697
2014,Physical Sciences,Masters,28.335
2015,Physical Sciences,Masters,29.003
2016,Physical Sciences,Masters,29.168
2017,Physical Sciences,Masters,30.137
2018,Physical Sciences,Masters,28.746
2019,Physical Sciences,Masters,26.182
2020,Physical Sciences,Masters,27.48
2021,Physical Sciences,Masters,27.091
2022,Physical Sciences,Masters,23.727
2023,Physical Sciences,Masters,25.691
2024,Physical Sciences,Masters,28.76
